018.wav,Angry,,Excellent,,,Same speaker
018.wav,Angry,,Noisy,,,Same speaker
018.wav,Angry,,Good,,,Same speaker
019.wav,Sad,,Bad,,,Same speaker
019.wav,,Neutral,,Noisy,,Same speaker
019.wav,,Angry,,Noisy,,Hard to say
019.wav,Neutral,,Bad,,,Same speaker
019.wav,Happy,,Good,,,Similar speaker
019.wav,Neutral,,Fair,,,Same speaker
019.wav,,Neutral,,Bad,,Hard to say
019.wav,Happy,,,Fair,Hard to say,
019.wav,Neutral,,Noisy,,,Same speaker
019.wav,Happy,,Fair,,,Similar speaker
020.wav,Sad,,Bad,,,Similar speaker
020.wav,Happy,,Good,,,Different speakers
020.wav,Happy,,Good,,,Similar speaker
020.wav,Happy,,Good,,,Similar speaker
020.wav,Angry,,Good,,,Same speaker
020.wav,Neutral,,Good,,,Same speaker
020.wav,Angry,,Noisy,,,Same speaker
020.wav,,Angry,,Fair,,Same speaker
020.wav,Angry,,Fair,,,Same speaker
020.wav,Sad,,Noisy,,,Hard to say
021.wav,Angry,,,Good,Same speaker,
021.wav,,Neutral,,Fair,,Same speaker
021.wav,Neutral,,Excellent,,,Similar speaker
021.wav,Neutral,,Fair,,,Same speaker
021.wav,,Happy,,Noisy,Different speakers,
021.wav,Angry,,Good,,,Same speaker
021.wav,Angry,,,Fair,Hard to say,
021.wav,,Angry,,Good,,Same speaker
021.wav,Angry,,Fair,,,Same speaker
021.wav,Sad,,Noisy,,,Different speakers
022.wav,Angry,,Bad,,,Similar speaker
022.wav,Sad,,Bad,,,Hard to say
022.wav,Angry,,Bad,,,Similar speaker
022.wav,Angry,,Fair,,,Same speaker
022.wav,Angry,,,Excellent,Same speaker,
022.wav,Angry,,Good,,,Same speaker
022.wav,,Angry,,Noisy,,Same speaker
022.wav,Angry,,Fair,,,Same speaker
022.wav,,Angry,,Good,,Same speaker
022.wav,Neutral,,Fair,,,Hard to say
023.wav,Sad,,Fair,,,Hard to say
023.wav,Angry,,Noisy,,,Same speaker
023.wav,Angry,,Noisy,,,Different speakers
023.wav,,Happy,Good,,Different speakers,
023.wav,Neutral,,Fair,,,Hard to say
023.wav,Neutral,,Good,,,Same speaker
023.wav,,Angry,,Noisy,,Same speaker
023.wav,Neutral,,,Fair,Same speaker,
023.wav,Angry,,Fair,,,Same speaker
023.wav,Happy,,Noisy,,,Hard to say
024.wav,Neutral,,Fair,,,Same speaker
024.wav,Neutral,,Fair,,,Similar speaker
024.wav,Angry,,Noisy,,,Different speakers
024.wav,Neutral,,Good,,,Similar speaker
024.wav,Neutral,,Good,,,Similar speaker
024.wav,Angry,,Fair,,,Similar speaker
024.wav,Angry,,Noisy,,,Same speaker
024.wav,Angry,,Fair,,,Different speakers
024.wav,Neutral,,Fair,,,Different speakers
024.wav,Happy,,Noisy,,,Different speakers
025.wav,Neutral,,,Bad,Same speaker,
025.wav,Angry,,Noisy,,,Same speaker
025.wav,Neutral,,Good,,,Same speaker
025.wav,Happy,,Fair,,,Hard to say
025.wav,Angry,,Bad,,,Different speakers
025.wav,Happy,,Noisy,,,Same speaker
025.wav,Neutral,,Good,,,Different speakers
025.wav,Angry,,Noisy,,,Similar speaker
025.wav,Happy,,,Noisy,Similar speaker,
025.wav,Neutral,,,Bad,Hard to say,
026.wav,Sad,,Bad,,,Similar speaker
026.wav,Angry,,,Fair,Same speaker,
026.wav,Sad,,,Fair,Same speaker,
026.wav,Angry,,Bad,,,Same speaker
026.wav,Sad,,Good,,,Similar speaker
026.wav,,Angry,Bad,,,Same speaker
026.wav,Angry,,,Fair,Same speaker,
026.wav,Sad,,Good,,,Same speaker
026.wav,Angry,,,Fair,,Same speaker
026.wav,Neutral,,Noisy,,,Different speakers
027.wav,Angry,,Fair,,,Different speakers
027.wav,Happy,,Noisy,,,Different speakers
027.wav,Neutral,,Good,,,Hard to say
027.wav,Angry,,,Good,Same speaker,
027.wav,Neutral,,Good,,,Same speaker
027.wav,Neutral,,Fair,,,Hard to say
027.wav,Angry,,Bad,,,Similar speaker
027.wav,Neutral,,Fair,,,Same speaker
027.wav,,Angry,Fair,,,Different speakers
027.wav,Happy,,Good,,,Same speaker
028.wav,Happy,,Noisy,,,Hard to say
028.wav,Neutral,,Fair,,,Hard to say
028.wav,Neutral,,,Bad,Hard to say,
028.wav,,Sad,,Bad,,Same speaker
028.wav,Neutral,,Fair,,,Same speaker
028.wav,Sad,,Bad,,,Similar speaker
028.wav,Happy,,Noisy,,,Similar speaker
028.wav,Neutral,,Bad,,,Similar speaker
028.wav,Neutral,,,Fair,Same speaker,
028.wav,Neutral,,Good,,,Similar speaker
029.wav,Angry,,Fair,,,Similar speaker
029.wav,Neutral,,Bad,,,Similar speaker
029.wav,,Happy,,Excellent,,Same speaker
029.wav,Sad,,Bad,,,Same speaker
029.wav,Angry,,Bad,,,Same speaker
029.wav,Neutral,,Fair,,,Same speaker
029.wav,Happy,,Noisy,,,Hard to say
029.wav,Happy,,Noisy,,,Same speaker
029.wav,Neutral,,Fair,,,Similar speaker
029.wav,Happy,,Noisy,,,Similar speaker
030.wav,Neutral,,Bad,,,Same speaker
030.wav,Angry,,Fair,,,Similar speaker
030.wav,Angry,,Noisy,,,Hard to say
030.wav,,Neutral,Good,,,Same speaker
030.wav,Neutral,,Noisy,,,Same speaker
030.wav,Happy,,Noisy,,,Different speakers
030.wav,Angry,,Excellent,,,Same speaker
030.wav,Sad,,Bad,,,Similar speaker
030.wav,,Sad,,Fair,,Same speaker
030.wav,Happy,,Noisy,,,Similar speaker
031.wav,Neutral,,Noisy,,,Hard to say
031.wav,,Angry,,Fair,,Same speaker
031.wav,Sad,,Fair,,,Different speakers
031.wav,Angry,,,Good,Same speaker,
031.wav,Angry,,Good,,,Hard to say
031.wav,Happy,,Fair,,,Similar speaker
031.wav,Neutral,,Good,,,Same speaker
031.wav,Angry,,Noisy,,,Similar speaker
031.wav,Happy,,Good,,,Similar speaker
031.wav,Happy,,,Excellent,Same speaker,
032.wav,,Angry,,Fair,,Same speaker
032.wav,Neutral,,Fair,,,Same speaker
032.wav,Neutral,,,Fair,Same speaker,
032.wav,Neutral,,Bad,,,Same speaker
032.wav,Neutral,,Noisy,,,Similar speaker
032.wav,Happy,,Good,,,Hard to say
032.wav,Angry,,Bad,,,Hard to say
032.wav,,Neutral,,Fair,,Same speaker
032.wav,Neutral,,Good,,,Similar speaker
032.wav,,Neutral,Good,,Different speakers,
033.wav,Angry,,,Good,Same speaker,
033.wav,Angry,,Noisy,,,Same speaker
033.wav,Angry,,Fair,,,Same speaker
033.wav,Angry,,Noisy,,,Same speaker
033.wav,Happy,,Fair,,,Similar speaker
033.wav,,Angry,,Bad,,Same speaker
033.wav,Neutral,,Noisy,,,Similar speaker
033.wav,Angry,,Noisy,,,Same speaker
033.wav,Sad,,Fair,,,Same speaker
033.wav,Sad,,Fair,,,Same speaker
034.wav,,Angry,,Noisy,,Same speaker
034.wav,Sad,,Bad,,,Same speaker
034.wav,Neutral,,Fair,,,Similar speaker
034.wav,,Angry,Fair,,,Hard to say
034.wav,,Angry,,Noisy,Same speaker,
034.wav,Angry,,Fair,,,Same speaker
034.wav,Angry,,Good,,,Same speaker
034.wav,Neutral,,Good,,,Same speaker
034.wav,Sad,,Fair,,,Same speaker
034.wav,Angry,,Noisy,,,Same speaker
035.wav,Angry,,Bad,,,Same speaker
035.wav,Angry,,Bad,,,Different speakers
035.wav,Neutral,,Good,,,Similar speaker
035.wav,,Neutral,Good,,,Hard to say
035.wav,Neutral,,Fair,,,Similar speaker
035.wav,Angry,,Noisy,,,Similar speaker
035.wav,,Angry,,Noisy,,Same speaker
035.wav,Happy,,Noisy,,,Different speakers
035.wav,Neutral,,,Bad,Same speaker,
035.wav,Happy,,Good,,,Similar speaker
036.wav,Angry,,,Excellent,Same speaker,
036.wav,Angry,,Fair,,,Same speaker
036.wav,Happy,,Fair,,,Same speaker
036.wav,Neutral,,Fair,,,Same speaker
036.wav,Happy,,Excellent,,,Similar speaker
036.wav,Neutral,,Fair,,,Different speakers
036.wav,,Angry,,Fair,,Same speaker
